path,label
rock/rock_89.jpg,rock
rock/rock_12.jpg,rock
rock/rock_34.jpg,rock
rock/rock_20.jpg,rock
rock/rock_17.jpg,rock
rock/rock_86.jpg,rock
rock/rock_68.jpg,rock
rock/rock_49.jpg,rock
rock/rock_87.jpg,rock
rock/rock_24.jpg,rock
rock/rock_65.jpg,rock
rock/rock_52.jpg,rock
rock/rock_59.jpg,rock
rock/rock_21.jpg,rock
rock/rock_56.jpg,rock
rock/rock_26.jpg,rock
rock/rock_4.jpg,rock
rock/rock_54.jpg,rock
rock/rock_22.jpg,rock
rock/rock_96.jpg,rock
rock/rock_7.jpg,rock
rock/rock_80.jpg,rock
rock/rock_66.jpg,rock
rock/rock_6.jpg,rock
rock/rock_63.jpg,rock
paper/paper_15.jpg,paper
paper/paper_75.jpg,paper
paper/paper_98.jpg,paper
paper/paper_77.jpg,paper
paper/paper_45.jpg,paper
paper/paper_89.jpg,paper
paper/paper_18.jpg,paper
paper/paper_44.jpg,paper
paper/paper_8.jpg,paper
paper/paper_13.jpg,paper
paper/paper_28.jpg,paper
paper/paper_87.jpg,paper
paper/paper_50.jpg,paper
paper/paper_37.jpg,paper
paper/paper_14.jpg,paper
paper/paper_84.jpg,paper
paper/paper_62.jpg,paper
paper/paper_9.jpg,paper
paper/paper_85.jpg,paper
paper/paper_68.jpg,paper
paper/paper_94.jpg,paper
paper/paper_55.jpg,paper
paper/paper_39.jpg,paper
paper/paper_32.jpg,paper
paper/paper_11.jpg,paper
scissors/scissors_92.jpg,scissors
scissors/scissors_15.jpg,scissors
scissors/scissors_9.jpg,scissors
scissors/scissors_45.jpg,scissors
scissors/scissors_38.jpg,scissors
scissors/scissors_19.jpg,scissors
scissors/scissors_63.jpg,scissors
scissors/scissors_25.jpg,scissors
scissors/scissors_13.jpg,scissors
scissors/scissors_41.jpg,scissors
scissors/scissors_1.jpg,scissors
scissors/scissors_94.jpg,scissors
scissors/scissors_37.jpg,scissors
scissors/scissors_73.jpg,scissors
scissors/scissors_24.jpg,scissors
scissors/scissors_79.jpg,scissors
scissors/scissors_16.jpg,scissors
scissors/scissors_3.jpg,scissors
scissors/scissors_29.jpg,scissors
scissors/scissors_75.jpg,scissors
scissors/scissors_0.jpg,scissors
scissors/scissors_64.jpg,scissors
scissors/scissors_6.jpg,scissors
scissors/scissors_22.jpg,scissors
scissors/scissors_97.jpg,scissors
